,nneg,npos,FIPS,acteur,langue,mois,SHORT_NAME,tot_art
54284,0,4,IR,BUS,ron,1,Iran,4
54285,0,2,IR,AZE,fas,1,Iran,2
54286,0,1,IR,USA,hin,1,Iran,1
54287,0,2,IR,IRNGOV,ita,1,Iran,2
54288,0,2,IR,MIL,bos,1,Iran,2
54289,0,1,IR,YEMSEP,dan,1,Iran,1
54290,0,29,IR,RUSGOV,eng,1,Iran,29
54291,0,1,IR,CHE,spa,1,Iran,1
54292,0,112,IR,USA,fra,1,Iran,112
54293,0,1,IR,LEG,ita,1,Iran,1
54294,0,1,IR,IRNREL,rus,1,Iran,1
54295,0,5,IR,YEMMIL,ara,1,Iran,5
54296,0,238,IR,GOV,spa,1,Iran,238
54297,0,495,IR,RUS,eng,1,Iran,495
54298,0,1,IR,EGY,slk,1,Iran,1
54299,0,3,IR,CVL,ita,1,Iran,3
54300,0,1,IR,FRA,urd,1,Iran,1
54301,0,1,IR,PTYUAF,ara,1,Iran,1
54302,0,11,IR,IRN,slk,1,Iran,11
54303,0,27,IR,BHR,eng,1,Iran,27
54304,0,1,IR,EURGOV,rus,1,Iran,1
54305,0,10,IR,LBY,eng,1,Iran,10
54306,0,11,IR,IRNMED,mkd,1,Iran,11
54307,0,1,IR,ESP,ron,1,Iran,1
54308,0,1,IR,USA,sqi,1,Iran,1
54309,0,1,IR,TUR,slk,1,Iran,1
54310,0,8,IR,SAU,nor,1,Iran,8
54311,0,4,IR,AFGGOV,eng,1,Iran,4
54312,0,5,IR,IRNGOV,tur,1,Iran,5
54313,0,26,IR,IRN,srp,1,Iran,26
54314,0,10,IR,HLH,eng,1,Iran,10
54315,0,1,IR,MIL,ces,1,Iran,1
54316,0,1,IR,ELI,spa,1,Iran,1
54317,0,1,IR,MOS,bul,1,Iran,1
54318,0,1,IR,ARMGOV,eng,1,Iran,1
54319,0,1,IR,USAGOV,bos,1,Iran,1
54320,0,1,IR,MEDEDU,eng,1,Iran,1
54321,0,1,IR,IRNREL,fra,1,Iran,1
54322,0,2,IR,COP,isl,1,Iran,2
54323,0,26,IR,IRNGOVMIL,eng,1,Iran,26
54324,0,1,IR,JUD,srp,1,Iran,1
54325,0,3,IR,OPP,bos,1,Iran,3
54326,0,1,IR,UKRMIL,rus,1,Iran,1
54327,0,7,IR,BUSGOV,ara,1,Iran,7
54328,0,5,IR,GOVGOVMIL,fra,1,Iran,5
54329,0,1,IR,bar,fas,1,Iran,1
54330,0,1,IR,IGOUNOIAE,ara,1,Iran,1
54331,0,1,IR,ESTELI,eng,1,Iran,1
54332,0,1,IR,LABBUS,ara,1,Iran,1
54333,0,5,IR,kur,ara,1,Iran,5
54334,0,76,IR,IRQ,ara,1,Iran,76
54335,0,2,IR,IRNCOP,fra,1,Iran,2
54336,0,3,IR,CRM,fas,1,Iran,3
54337,0,1,IR,GBRGOVMIL,eng,1,Iran,1
54338,0,62,IR,IRNGOVJUD,eng,1,Iran,62
54339,0,1,IR,LEG,ukr,1,Iran,1
54340,0,5,IR,BHR,tur,1,Iran,5
54341,0,38,IR,PSE,eng,1,Iran,38
54342,0,1,IR,IRNLEG,nld,1,Iran,1
54343,0,1,IR,NLDCOP,srp,1,Iran,1
54344,0,1,IR,FRA,sqi,1,Iran,1
54345,0,1,IR,PTY,spa,1,Iran,1
54346,0,1,IR,SYRGOV,tur,1,Iran,1
54347,0,44,IR,FRAGOV,deu,1,Iran,44
